user_id	commet-number	song-id
20427713	34	['70127', '522818119', '228766', '85545', '524149973', '93351', '93363', '353591', '248579', '477726818', '142035', '256369', '256428', '28240956', '28240960', '157373', '156411', '157373', '522320463', '522320471', '512377294', '26632164', '35447678', '36924205', '36924204', '36307850', '34828945', '34828949', '29755462', '28111867', '316915', '326790', '25715011', '387981']
128291918	16	['28160076', '522320456', '522320463', '522320471', '570333112', '441489866', '37856448', '35447678', '36921284', '36924204', '36921282', '36307850', '36921283', '33071170', '29755462', '28306105']
483574229	15	['27588221', '409931530', '522320471', '176602', '176745', '176745', '177591', '177352', '177521', '177587', '177589', '177591', '25698038', '390577', '395895']
74833922	10	['544075637', '536135112', '561496957', '492561813', '224361', '523157401', '522320459', '522320471', '559843736', '314334']
249841683	14	['28409780', '509726078', '522320471', '399954223', '26145670', '26145667', '176657', '176694', '176754', '176757', '176820', '176847', '177363', '28892169']
416851366	11	['522320457', '522320460', '522320464', '177524', '522320471', '177524', '177524', '177524', '177524', '177521', '177524']
61511771	28	['25640066', '362392', '522320459', '522320456', '522320460', '522320464', '522320465', '522320469', '522320471', '399953222', '176928', '26304072', '26304070', '176642', '176928', '176749', '176787', '176828', '177591', '177347', '177591', '177608', '316821', '29734313', '29734322', '29734326', '29734325', '29734319']
289195491	53	['509726078', '522320459', '522320460', '177524', '522320467', '522320471', '399953218', '399953221', '176921', '176897', '176887', '399953231', '26304076', '177524', '176887', '176921', '176787', '176842', '177591', '176921', '177524', '176887', '177357', '177352', '177363', '176887', '177524', '176921', '176921', '177400', '177420', '177524', '177521', '177524', '177306', '176887', '177591', '177599', '176887', '196152', '196197', '28310190', '376553', '376651', '376659', '376686', '376682', '376756', '29418110', '387772', '387761', '387772', '387795']
56705732	10	['4878011', '26344031', '26344032', '26344045', '26344020', '26344031', '26344032', '327161', '368969', '30841839']
14380985	10	['254727', '29203605', '161523', '298657', '297506', '297506', '297506', '306796', '306802', '30841839']
34150915	11	['205565', '174620', '31260256', '31426073', '31473269', '31010481', '30621743', '293982', '299473', '30413070', '30841839']
126206	22	['349981', '349981', '352085', '352085', '352085', '352085', '352085', '103627', '231420', '256442', '27566740', '156833', '156947', '192069', '192005', '192069', '192166', '31421561', '304616', '27506944', '247775', '30841839']
16214963	16	['62430', '67023', '28111101', '108689', '115754', '361859', '30482286', '30482286', '30482286', '30482286', '28068082', '191435', '191444', '35729653', '30841839', '30841842']
348208842	16	['78180', '78199', '78606', '78409', '78468', '78459', '78606', '78606', '78571', '78606', '78409', '78710', '351603', '136329', '174195', '174195']
